BBG 티커,영어 명칭,ISIN,CUSIP,SEDOLS,WKNs,RIC,Listing Date,Currency,Exchange,Management Fee
GEMG,Leverage Shares 2x Long GEMI Daily ETF,US88340C7359,88340C735,,,,2025-11-05 00:00:00,USD,US,0.0075
LULG,Leverage Shares 2x Long LULU Daily ETF,US88340C7276,88340C727,,,,2025-11-05 00:00:00,USD,US,0.0075
NUG,Leverage Shares 2x Long NU Daily ETF,US88340C8183,88340C818,,,,2025-11-17 00:00:00,USD,US,0.0075
NETG,Leverage Shares 2x Long NET Daily ETF,US88340C8266,88340C826,,,,2025-11-17 00:00:00,USD,US,0.0075
NEMG,Leverage Shares 2x Long NEM Daily ETF,US8829271894,882927189,,,,2025-11-17 00:00:00,USD,US,0.0075
OKTG,Leverage Shares 2x Long OKTA Daily ETF,US88340C7920,88340C792,,,,2025-11-17 00:00:00,USD,US,0.0075
TERG,Leverage Shares 2x Long TER Daily ETF,US88340C6930,88340C693,,,,2025-11-17 00:00:00,USD,US,0.0075
SPOG,Leverage Shares 2x Long SPOT Daily ETF,US88340C7508,88340C750,,,,2025-11-17 00:00:00,USD,US,0.0075
CIFG,Leverage Shares 2x Long CIFR Daily ETF,US88340F8370,88340F837,,,,2025-12-11 00:00:00,USD,US,0.0075
DUOG,Leverage Shares 2x Long DUOL Daily ETF,US88340F7380,88340F738,,,,2025-12-11 00:00:00,USD,US,0.0075
GRAG,Leverage Shares 2x Long GRAB Daily ETF,US88340F7463,88340F746,,,,2025-12-11 00:00:00,USD,US,0.0075
OPEG,Leverage Shares 2x Long OPEN Daily ETF,US88340F8453,88340F845,,,,2025-12-11 00:00:00,USD,US,0.0075
IREG,Leverage Shares 2x Long IREN Daily ETF,US88340F1003,88340F100,,,,2025-12-16 00:00:00,USD,US,0.0075
BEG,Leverage Shares 2x Long BE Daily ETF,US88340F2092,88340F209,,,,2025-12-16 00:00:00,USD,US,0.0075
